Bank Name,Bank ID,Account Number,Entity ID,Entity Name
Italy Bank #4801,326076,8144CDE90,80082E3D0,Corporation #24817
Sappo Thrift,130584,80D370C90,800EC51C0,Sole Proprietorship #6943
Fieldstone Cooperative Bank,123390,813A0FF90,800E447E0,Sole Proprietorship #15834
Austria Bank #20,3045,801FDF210,80089D610,Partnership #28060
France Bank #3203,36902,80A901390,8007FBD70,Corporation #41176
Mexico Bank #8,27,80C180D10,800D3F700,Partnership #36544
Canada Bank #162,325562,809D3DD90,800CB8B00,Corporation #33433
Savings Bank of Tampa,132725,812FB3A10,800E306A0,Partnership #37413
Bank of Dallas,24424,809C7B490,800E3BFC0,Sole Proprietorship #13471
Israel Bank #253,144225,81089B010,800EDF7C0,Sole Proprietorship #13524
Germany Bank #59,5175,8134A1B10,80079BD50,Corporation #49847
Capital Savings Bank,237730,80E405190,8005AC770,Corporation #15783
Willows Savings Bank,229558,80B485B90,800544950,Sole Proprietorship #13747
First Bank of Tuscon,19746,808669190,80049D0D0,Partnership #13017
Bank of Fairfield,23402,8013DB590,800256480,Partnership #3255
Willows Bancorp,1729,80A7B6010,8000EC840,Sole Proprietorship #14102
Savings Bank of Fort Wayne,32672,8016FD0A0,800EB6420,Sole Proprietorship #19404
India Bank #959,313185,804DBB020,800B281D0,Partnership #52143
Germany Bank #543,27217,806CD2820,80093BE70,Sole Proprietorship #22394
Portugal Bank #128,6625,80294F020,800908550,Sole Proprietorship #23393
Savings Bank of Providence,352604,81478AEA0,800D50C20,Sole Proprietorship #6271
First Bank of Arkadelphia,11318,808FE1BA0,800BB3930,Corporation #11147
Belgium Bank #226,27288,8046D4CA0,80081DAD0,Corporation #44614
Brownstone Cooperative Bank,33106,80148A9B0,800AA7BC0,Sole Proprietorship #15104
France Bank #40,1299,801828930,8007DABD0,Corporation #40337
Russia Bank #18,16787,80660C930,800B49C40,Sole Proprietorship #32941
Mountain Thrift,238397,813A99E30,800D59100,Sole Proprietorship #8476
Brownstone Federal Bank,31011,8133C9130,800F959B0,Sole Proprietorship #2411
Bank of Billings,11904,801B740B0,800D61AC0,Sole Proprietorship #4190
Saudi Arabia Bank #6,121,811E03C30,800F0F880,Sole Proprietorship #46269
Australia Bank #27,28094,80ACEDFB0,800CF3B10,Corporation #47126
Spain Bank #23,1522,80BCAF9B0,800657000,Partnership #28011
Israel Bank #788,344251,810605D40,800E84E60,Corporation #35871
Russia Bank #284,317544,806B434C0,800B49C40,Sole Proprietorship #32941
Israel Bank #206,244818,8105629C0,800E7FA00,Partnership #37705
First Bank of Seattle,241801,812704440,800BA4E90,Sole Proprietorship #4335
Sunrise Credit Union,2952,801BDC4C0,800E6C3C0,Sole Proprietorship #4226
India Bank #25,7,804D80340,800AC4EB0,Corporation #37920
France Bank #858,246789,8134A0240,80097EF70,Corporation #54160
France Bank #52,24144,807AF28C0,8007660F0,Partnership #26681
India Bank #45,113530,8058DBDD0,800B1D750,Corporation #48479
France Bank #3325,3666,80B5F29D0,8008449D0,Sole Proprietorship #25424
France Bank #5169,35273,801F4E450,800904A90,Corporation #26015
Italy Bank #1462,218897,809438850,80063BD00,Corporation #22033
Savings Bank of Tampa,132725,813F33A50,800CE6320,Partnership #5075
Switzerland Bank #11,112,80EE838D0,800DB93F0,Corporation #34854
Russia Bank #40,18405,806EBF250,800B44480,Partnership #33830
Sappo Federal Bank,7042,80A0DC1D0,800F1B690,Partnership #7274
Israel Bank #41,44650,810C735D0,800EE6240,Sole Proprietorship #1920
Switzerland Bank #112,39678,80F1D7FD0,800E29520,Partnership #1020
Canada Bank #55,126094,809CE47D0,800CB0AA0,Corporation #33627
Italy Bank #321,43923,8110DC950,800977AF0,Corporation #27236
First Bank of Tampa,21940,803CADAD0,8001A8580,Partnership #54460
National Bank of Tuscon,32301,808A71660,800F737B0,Partnership #39777
Bank of Watertown,37546,805B955E0,8005E9F90,Partnership #21318
India Bank #1027,313078,804DB7BE0,800ABA660,Partnership #32618
Switzerland Bank #28,238190,80EA937E0,800E6A380,Sole Proprietorship #37389
Bank of Lacrosse,340685,813A16660,800C464D0,Sole Proprietorship #17980
Brownstone Trust Bank,21258,8117185E0,800E95220,Sole Proprietorship #7561
City National Thrift,34338,80BE311E0,800FAC910,Sole Proprietorship #4775
First Bank of Topeka,329707,80B8BF560,8004E1610,Corporation #37066
Portugal Bank #43,1502,8008AEFE0,8008D3F70,Partnership #42013
Israel Bank #43,247207,8115AD360,800E7FA00,Partnership #37705
Switzerland Bank #72,41578,80F4935E0,800DDB500,Partnership #36960
Mexico Bank #100,34723,80CDBD160,800D3F700,Partnership #36544
Australia Bank #284,128737,80B237060,800CCD520,Corporation #33736
Australia Bank #51,128558,80A9B17E0,800D11ED0,Sole Proprietorship #35615
China Bank #319,312381,80AF21E60,800A248C0,Partnership #30614
Spain Bank #174,218202,80BBA2DE0,800849210,Corporation #23121
Regents Credit Union,221332,810E84AE0,800FB2490,Sole Proprietorship #19486
Saudi Arabia Bank #7,48211,812862960,800F284E0,Partnership #12974
Brazil Bank #30,235580,80CEC1EE0,800DA3270,Partnership #13862
Canada Bank #121,126107,809CE4D60,800CB1480,Sole Proprietorship #3462
Spain Bank #1392,18049,8088B4060,8008C7DF0,Corporation #24344
Germany Bank #65,22,806380BE0,800614280,Sole Proprietorship #48281
Crytpo Bank #672,354058,8142B85F1,8004B5CD0,Partnership #38443
National Bank of Springfield,314049,80C756070,8006760A0,Partnership #13031
UK Bank #994,321319,808839370,800C49730,Corporation #51119
Russia Bank #74,316632,8061A6CF0,800B44420,Corporation #31491
Israel Bank #85,343336,80FDE94F0,800E1D320,Partnership #52799
Netherlands Bank #470,21142,80BC94BF0,8007BDD90,Partnership #48301
Russia Bank #21,16927,806D90F70,800B49C40,Sole Proprietorship #32941
Crytpo Bank #29,154148,8143D12F1,800FE9980,Country #1
Switzerland Bank #26,240018,80F1CC9F0,800DB93F0,Corporation #34854
Japan Bank #24,10656,80C3CD0F0,800A857E0,Sole Proprietorship #31282
France Bank #833,223026,80EBB99F0,800737390,Partnership #27486
Ireland Bank #324,125164,80C8476F0,800872CD0,Corporation #22940
Germany Bank #139,229220,80BCFB2F0,800732930,Corporation #24679
Germany Bank #39,15863,803CEFB70,800D2E450,Sole Proprietorship #3072
Crytpo Bank #29,154148,8143D12F0,800FB14B0,Partnership #4832
Switzerland Bank #5,138395,80F664D70,800E06D60,Corporation #46022
Switzerland Bank #20,137218,80E2401F0,800DE3DA0,Corporation #50661
First Bank of Dallas,13145,813A1AC70,800235460,Corporation #40221
Savings Bank of Fairfield,14549,8070C6B80,800E792F0,Corporation #873
Brazil Bank #6,115,80CF03880,8014E6BD0,Corporation #18817
India Bank #12,214308,805D29300,800ABA660,Partnership #32618
First Bank of Danbury,113865,808AE6580,800F8FD90,Sole Proprietorship #12443
Italy Bank #84,24850,810288800,800873B70,Corporation #24428
Bank of New Orleans,12719,806A8D680,80019F0E0,Partnership #45907
Brazil Bank #54,335356,80CDEFF00,8014E6BD0,Corporation #18817
Crytpo Bank #32,154043,81454DC81,8004B5CD0,Partnership #38443
Mexico Bank #13,32564,80CB79B00,800D2A620,Corporation #34247
China Bank #14,3,804D80080,800ABA660,Partnership #32618
India Bank #6,112497,805E3B980,800AACAB0,Sole Proprietorship #31639
Japan Bank #221,310468,803F66300,800A340F0,Partnership #31646
Australia Bank #16,27995,80A6EAC80,800CF0100,Corporation #33924
Germany Bank #164,20727,80A887A80,8008F2110,Corporation #8823
Germany Bank #99,23344,801B59900,80071B210,Partnership #28903
National Bank of the Valley,17401,81179FD80,800477110,Sole Proprietorship #19903
Bank of Chicago,22828,8021C9700,8002016E0,Sole Proprietorship #4711
Brownstone Credit Union,1686,800DB4A00,800199120,Corporation #1759
First Bank of Arkadelphia,11318,8019E1A00,800151C20,Corporation #3204
Bank of Albany,38222,80532A610,800C9CEC0,Partnership #4919
Switzerland Bank #10,117,80F083B90,800DB93F0,Corporation #34854
Australia Bank #49,29064,80AC8C510,800CCD520,Corporation #33736
Canada Bank #33,24922,80930AC10,800C7C190,Partnership #6778
India Bank #15,213737,805517590,800B13BB0,Corporation #38695
China Bank #3,4,803800310,8009A7C40,Sole Proprietorship #43898
Savings Bank of Montpelier,132499,81002C8A0,800CA5720,Sole Proprietorship #9236
Canada Bank #703,324846,8090A7620,800CBAF00,Partnership #36117
Italy Bank #4938,3662,800C72620,800973370,Sole Proprietorship #28805
National Bank of Cleveland,122086,809B67220,800C9A440,Partnership #10425
France Bank #85,2915,800FDB0A0,80083AB10,Partnership #29526
Switzerland Bank #39,39721,80FA595A0,800DB93F0,Corporation #34854
Austria Bank #90,22775,804347AA0,8007664B0,Sole Proprietorship #23257
Hearthstone Savings Bank,13432,807D23D20,8009E0DF0,Sole Proprietorship #11791
Israel Bank #5,217,80FD86DA0,800E8AD90,Sole Proprietorship #5211
India Bank #2,71,8053822A0,800AD46E0,Sole Proprietorship #48423
China Bank #14,3,805C800A0,800ACEE10,Corporation #40568
Italy Bank #95,1490,8021AE820,800643940,Partnership #38964
The Pine Federal Bank,133490,813ACB820,8005824F0,Corporation #19604
First Bank of New Orleans,116715,812D3F4A0,80046DE50,Sole Proprietorship #53009
Mountain Trust Bank,2627,8049520A0,8001F81C0,Sole Proprietorship #10664
Australia Bank #43,28603,80A87DCB0,800D28430,Partnership #36506
Oasis Bancorp,33775,80429F6B0,800F20BA0,Partnership #17389
National Bank of Montpelier,28800,804B04130,800A9F4E0,Partnership #5275
Sunrise Credit Union,312523,80DC264B0,8003C06A0,Corporation #50929
Crytpo Bank #294,355170,81455B031,800419300,Partnership #50846
UK Bank #13,121987,8087640B0,800C401F0,Partnership #42244
First Bank of Dallas,13145,80199ADB0,8004BA570,Corporation #2145
Willows Credit Union,316523,8097234B0,80056E770,Sole Proprietorship #19316
Russia Bank #18,16787,80618C8B0,800B49C40,Sole Proprietorship #32941
Savings Bank of Fort Wayne,336022,80FE84A30,800CB64A0,Sole Proprietorship #5855
First Bank of Pittsburgh,215841,8080591B0,800DBC600,Corporation #7637
Italy Bank #49,1547,801D304B0,800D1AC10,Partnership #22388
Germany Bank #234,14663,801BCA2B0,80076B810,Sole Proprietorship #22319
National Bank of Harrisburg,25075,813B0F8B0,800EDDB80,Partnership #11395
Savings Bank of Dallas,113744,80F962930,800FB70C0,Sole Proprietorship #6086
National Bank of the Valley,17401,80AE1FDB0,800A51800,Partnership #7112
First Bank of Lacrosse,35834,805CDFC30,800F54E10,Partnership #10239
Israel Bank #51,143430,811382230,800EC1580,Corporation #5950
Israel Bank #9,43462,81194E230,800EBAD00,Corporation #36509
Spain Bank #114,15643,80D768CB0,8007BF7D0,Sole Proprietorship #27273
Arbor Savings Bank,1,8006001B0,8000571E0,Sole Proprietorship #49496
City National Savings Bank,33017,802487DC0,8003EAC60,Sole Proprietorship #18385
UK Bank #807,321328,8087B9940,800C47F50,Partnership #35397
First Bank of Dallas,13145,802E1ADC0,800300A20,Sole Proprietorship #11296
Bank of Lacrosse,122080,80FEE7140,800D3AB10,Partnership #6831
Slovakia Bank #106,1916,8093BBF40,80094E250,Partnership #30017
Russia Bank #18,16787,806D8C8C0,800B44480,Partnership #33830
France Bank #30,122342,80B5EF240,800930C70,Corporation #25064
Germany Bank #137,13265,801C1E9C0,800921C10,Corporation #20865
UK Bank #32,26,808680C40,800BD6490,Corporation #32378
Spain Bank #9,21749,808027BC0,8006A6060,Corporation #44634
Sunrise Trust Bank,143947,8104124C0,8005E0270,Partnership #20040
Australia Bank #644,329429,80B036BD0,800CFB430,Corporation #34164
India Bank #0,6,80A100250,800D28430,Partnership #36506
China Bank #13,14,80FD80650,800E84E60,Corporation #35871
Germany Bank #360,28711,803D012D0,800916610,Corporation #24382
Savings Bank of Miami,236046,80F8D0650,800EFD380,Corporation #1806
India Bank #86,312299,804C1F4D0,800ABA660,Partnership #32618
The Pine Savings Bank,29003,80B58A4D0,800C959E0,Corporation #12991
Saudi Arabia Bank #4,223,811B86ED0,800F1C910,Partnership #2298
Russia Bank #16,9,8063005D0,800B57CF0,Sole Proprietorship #33153
Bank of Providence,110603,8146804D0,8003C94A0,Corporation #20000
National Bank of Helena,1457,802DAD9D0,8001879C0,Corporation #48971
First Bank of Houston,32282,801B70C60,800CB55E0,Partnership #4736
Savings Bank of Seattle,1292,8043A8760,800ECB500,Sole Proprietorship #330
National Bank of Harrisburg,15695,8063EA6E0,800CC3A70,Corporation #3970
Saudi Arabia Bank #304,349548,81282B760,800F1BC50,Partnership #38226
Savings Bank of Topeka,311276,80D07F760,800D72E20,Sole Proprietorship #8962
China Bank #38,19318,807E5BA60,8009D3F30,Corporation #29284
First Bank of Philadelphia,126783,80D7F9EE0,800FB1E70,Corporation #4252
First Bank of Arkadelphia,113779,80A4E38E0,800EB5AC0,Sole Proprietorship #1463
Oasis Bank,218438,806D2A260,800AF9950,Partnership #11415
Belgium Bank #226,27288,8033D4D60,80081DD10,Partnership #25822
Germany Bank #88,2467,8026CD0E0,8006DCCF0,Corporation #47981
Italy Bank #95,1490,800A2E860,800640FA0,Corporation #20497
Sea Bank,2845,803158FE0,800212AE0,Corporation #5215
Russia Bank #43,218783,806FB4EF0,800B49C40,Sole Proprietorship #32941
Japan Bank #623,312097,80B1991F0,800A810C0,Sole Proprietorship #43957
China Bank #14,3,805C800F0,800AB34A0,Partnership #39325
UK Bank #61,122332,8087EEF70,800C071E0,Corporation #32976
China Bank #10,18200,8035B8D70,8009B5CF0,Corporation #28357
Dawn Credit Union,137024,81293A170,800DBB820,Partnership #4635
Bank of Pittsburgh,8354,812605070,800ECB080,Partnership #16460
Oasis Bancorp,36928,80FE82170,800CAD2C0,Sole Proprietorship #15426
Oak Credit Union,34928,80D0C3970,800FB0010,Corporation #978
Israel Bank #197,245328,811372970,800EEFD00,Partnership #6770
Australia Bank #47,27755,80A2634F0,800CE0FC0,Sole Proprietorship #35484
Japan Bank #0,15,8040806F0,800A43DC0,Sole Proprietorship #30975
Italy Bank #53,12004,802077370,8006CCA30,Partnership #44274
First Bank of Los Angeles,13264,806F1E970,8002442E0,Partnership #44708
Flagstone Federal Bank,1047,800820AF0,800116540,Partnership #10994
Italy Bank #4211,3216,801FE4980,8006D9C10,Corporation #24760
Austria Bank #20,3045,80BADF300,8006C1920,Sole Proprietorship #23412
Switzerland Bank #29,239453,80EB3AF00,800DDB500,Partnership #36960
Canada Bank #228,325890,8096C8080,800C665D0,Partnership #35742
Germany Bank #851,22062,80BCB1680,80092F9F0,Partnership #27597
France Bank #444,29069,80760C700,800CD3AC0,Partnership #2370
Savings Bank of Milford,130435,80DD6C000,800B99090,Sole Proprietorship #17275
Bank of the East,12381,80CB82F00,800DF9040,Sole Proprietorship #16091
Savings Bank of Indianapolis,24132,8075F2380,800DF6DC0,Partnership #2957
Bank of Helena,25981,803A2BF00,800DE46A0,Sole Proprietorship #7208
Canada Bank #51,26302,809DB5E80,800CAD620,Partnership #18525
France Bank #902,241704,811901580,800974550,Corporation #26992
Bank of Lacrosse,122080,8139E7180,8004D4F30,Partnership #47800
Brownstone Trust Bank,21258,802E98480,80013D460,Partnership #51170
Germany Bank #4685,33769,801E1F510,8006D9A90,Corporation #24493
Netherlands Bank #537,132958,81213AE90,80079EC50,Corporation #42009
India Bank #147,312830,804BAFE90,800B180D0,Partnership #33776
Russia Bank #54,219562,8074CD490,800B44480,Partnership #33830
Greece Bank #452,124368,81252E990,8007A57D0,Sole Proprietorship #26680
Portugal Bank #473,18460,8033C0F90,80076B810,Sole Proprietorship #22319
Oak Savings Bank,33860,8032A2390,800CD8040,Partnership #6910
Australia Bank #20,27621,80A25F310,800CD9180,Partnership #6642
UK Bank #32,26,807680C90,800BD2F50,Partnership #34703
Croatia Bank #4422,33912,802EA3DA0,80076EAD0,Corporation #46376
Switzerland Bank #1202,341029,80F021320,800DB93F0,Corporation #34854
Hilltop Bancorp,15980,8141F37A0,800D7E010,Partnership #42450
Israel Bank #6,119,812403A20,8014FA740,Corporation #19043
Canada Bank #26,214,809686AA0,800C9F220,Corporation #33351
Savings Bank of Los Angeles,37969,813322920,800DB33F0,Sole Proprietorship #21200
National Bank of Helena,1457,80EEAD920,800618200,Sole Proprietorship #5471
First Bank of the North,21575,80BF22220,800E2C060,Partnership #16230
National Bank of the East,12,8020007A0,8006E6B70,Corporation #3735
Savings Bank of Dallas,11405,800D64720,800F4F050,Sole Proprietorship #195
Israel Bank #46,46906,811539CA0,800F0B090,Sole Proprietorship #38143
Switzerland Bank #39,39721,80F459520,800E30760,Corporation #35430
Germany Bank #490,147885,81298D720,800985B90,Corporation #43464
Bank of Portsmouth,132722,80CAB38A0,800574590,Corporation #47312
First Bank of Lacrosse,6803,8032D4820,8003241E0,Sole Proprietorship #41656
Spruce Trust Bank,4403,810489820,80029F600,Partnership #16633
First Bank of Springfield,701,802F95F20,8000F30A0,Partnership #48644
Hearthstone Trust Bank,31057,8022CA930,800D0B1B0,Partnership #16085
France Bank #75,2591,808F50E30,8008F9870,Partnership #27903
Spain Bank #9,21749,8028A7B30,8008F5DB0,Partnership #27382
Arbor Savings Bank,3229,8015E4F30,800D52F00,Partnership #14709
India Bank #59,13029,804C97330,800ABA660,Partnership #32618
Slovenia Bank #1760,325463,80943AA30,8007E74F0,Corporation #22624
Portugal Bank #371,19023,808A52630,800668880,Sole Proprietorship #22437
Austria Bank #107,16011,802674430,800CD3AC0,Partnership #2370
Bank of Boston,12446,807284EB0,800C2B790,Corporation #9422
Brownstone Bancorp,23885,80416A730,800DF1940,Sole Proprietorship #7692
India Bank #148,14629,805849330,800B312F0,Partnership #43014
First Bank of Dallas,23842,8062690B0,800271F40,Partnership #43233
Ireland Bank #1742,321281,809FB8140,800719150,Corporation #24492
Savings Bank of Topeka,35887,808BE1640,800D08B90,Partnership #2761
First Bank of Houston,39367,807D4E240,800F50C70,Corporation #4188
Mexico Bank #0,213,809E06B40,800C70D90,Partnership #36105
Greece Bank #77,21387,80101C440,800972490,Partnership #30213
